date,price,dix,gex,NEGATIVE_GAMMA_REGIME,DIX_10D_MA,DARK_POOL_ACCUMULATION,DIP_BUY_SAFE,NET_LIQUIDITY_B,RISK_ON_LIQUIDITY,VPIN_PROXY,HIGH_TOXICITY_FLAG,TOTAL_CLUSTER_BUYS,EUREKA_AVOID_CRASH_FLAG,EUREKA_BUY_THE_DIP_FLAG
2026-02-19,6861.89,0.4773222261247201,200115326.33,False,0.4488931109669558,False,True,6392.509999999999,False,,,0,False,False
2026-02-20,6909.51,0.4726034082755785,5449390896.36,False,0.4557472028278496,True,True,6336.879999999999,False,,,0,False,False
2026-02-23,6837.75,0.4514775923431176,1150290354.56,False,0.4563575736330647,True,True,6300.29,False,,,0,False,False
2026-02-24,6890.07,0.4429346432328954,3098836082.14,False,0.4548456013344251,True,True,6307.39,False,,,0,False,False
2026-02-25,6946.13,0.4545325692991614,4456157595.71,False,0.4544059660046001,True,True,6307.58,False,,,0,False,False
2026-02-26,6908.86,0.4495985635326274,1826571927.73,False,0.4546604544890185,True,True,6291.73,False,,,0,False,False
2026-02-27,6878.88,0.4373866878821676,4856132673.37,False,0.4536516852738645,True,True,6323.610000000001,False,,,0,False,False
2026-03-02,6881.62,0.4689489996291328,2616728166.54,False,0.4564010959972574,True,True,6336.77,False,,,0,False,False
2026-03-03,6816.63,0.4422467594893358,2721525872.19,False,0.4563856954424106,True,True,6341.12,False,,,0,False,False
2026-03-04,6869.5,0.4558999093145457,6917491809.23,False,0.4552951359123282,True,True,6327.200000000001,False,,,0,False,False
2026-03-05,6830.71,0.4674757442661732,2935529684.63,False,0.4543104877264735,True,True,6365.179999999999,False,,,0,False,False
2026-03-06,6740.02,0.4699144990638909,-255824365.19,True,0.4540415968053047,True,False,6359.25,False,,,0,False,False
2026-03-09,6795.99,0.4473437004675842,2647946753.99,False,0.4536282076177514,True,True,6369.88,False,,,0,False,False
2026-03-10,6781.48,0.479149873493909,2833611024.71,False,0.4572497306438528,True,True,6325.95,False,,,0,False,False
2026-03-11,6775.8,0.4517660593251669,1772177538.97,False,0.4569730796464533,True,True,6317.33,False,,,0,False,False
2026-03-12,6672.62,0.4740241202673953,-341342620.5799998,True,0.4594156353199302,True,False,6327.92,False,,,0,False,False
2026-03-13,6632.19,0.4422691793544434,100977975.2800002,False,0.4599038844671577,True,True,6325.21,False,,,0,False,False
2026-03-16,6699.38,0.4349127113238323,1750363701.4099991,False,0.4565002556366277,True,True,6310.91,False,,,0,False,False
2026-03-17,6716.09,0.4533155517590173,2106344535.550002,False,0.4576071348635958,True,True,6268.38,False,,,0,False,False
2026-03-18,6624.7,0.4526863096055648,-140231247.46000004,True,0.4572857748926977,True,False,6299.98,False,,,0,False,False
2026-03-19,6606.49,0.4479524133045914,-321849345.7400001,True,0.4553334417965395,True,False,6272.43,False,,,0,False,False
2026-03-20,6506.48,0.4592937103426273,-1096289832.7600005,True,0.4542713629244132,True,False,6278.78,False,,,0,False,False
2026-03-23,6581.0,0.425720764875833,672894694.540001,False,0.4521090693652381,True,True,6309.38,True,,,0,False,False
2026-03-24,6556.37,0.4394308971253725,132400727.9900002,False,0.4481371717283844,False,True,6325.37,True,,,0,False,False
2026-03-25,6591.9,0.4462804211545297,1201182250.100001,False,0.4475886079113206,False,True,6350.39,True,,,0,False,False
2026-03-26,6477.16,0.4286655911145995,-313179686.9200002,True,0.4430527549960411,False,False,6332.9,True,,,0,False,False
2026-03-27,6368.85,0.4146203144550502,-7241893459.340001,True,0.4402878685061018,False,False,6336.71,True,,,0,False,False
2026-03-30,6343.72,0.3929775152865248,-1077105660.4,True,0.436094348902371,False,False,6305.64,False,,,0,False,False
2026-03-31,6528.52,0.4455336668721925,2329652811.6200023,False,0.4353161604136885,False,True,6280.67,False,,,0,False,False
2026-04-01,6575.32,0.4873863957740775,2657525888.350002,False,0.4387861690305398,False,True,6233.87,False,,,0,False,False
2026-04-02,6582.69,0.5026903210303237,2745627207.1699977,False,0.444259959803113,False,True,6262.679999999999,False,,,0,False,False
2026-04-06,6611.83,0.4535916573323762,2907439796.07,False,0.443689754502088,False,True,6348.25,False,,,0,False,False
2026-04-07,6616.85,0.4687452319414843,2706029192.4900007,False,0.4479922012086531,False,True,6360.51,True,,,0,False,False
2026-04-08,6782.81,0.4549138884057118,5350519304.339996,False,0.449540500336687,False,True,6355.23,True,0.2195472842025117,False,0,False,False
2026-04-09,6824.66,0.4843504483938458,5641402275.270006,False,0.4533475030606186,True,True,6358.83,True,0.0233737482516981,False,0,False,False
2026-04-10,6816.89,0.4759718009237338,5108014699.940001,False,0.458078124041532,True,True,6336.420000000001,True,0.1371659590788345,False,0,False,False
2026-04-13,6886.24,0.4584326988965629,5665588771.520002,False,0.4624593624856833,True,True,6343.3,True,0.5932822023581955,False,0,False,False
2026-04-14,6967.38,0.4899623983050458,7404904814.709997,False,0.4721578507875354,True,True,6352.46,True,0.6368162936965942,False,0,False,False
2026-04-15,7022.95,0.5092928207960492,8885947956.449993,False,0.4785337661799211,True,True,6343.03,True,0.6786337432341326,False,0,False,False
2026-04-16,7041.28,0.4975064998716014,9546876389.540005,False,0.4795457765896734,True,True,6353.39,True,0.0642013447358885,False,0,False,False
